x,y,lamm_fill,lamm_length,lamm_flowac,W,S,D50
365502.5,661032.5,374.7373,3497.112,157575,1.5,0.08,105
365682.5,661117.5,358.1249,3276.047,374850,1.8,0.076,132
366042.5,661702.5,299.7072,2881,1028100,3.4,0.075,52
366097.5,661887.5,287.2641,2320.008,1994675,3.8,0.082,70
366077.5,661962.5,283.5799,2236.724,2022075,6.1,0.062,61
366037.5,662187.5,270.0589,1982.729,2125100,6.8,0.022,55
366272.5,662532.5,250.0295,1516.958,3354350,7.5,0.025,68
366282.5,662662.5,244.8019,1378.674,3401000,8.9,0.02,59
366377.5,662797.5,237.5375,1198.466,3477025,8.4,0.02,92
366392.5,662887.5,233.9766,1098.111,3558375,12.6,0.021,89
366457.5,662957.5,228.4461,989.4717,3603900,10.6,0.03,98
366497.5,663022.5,225.3323,894.9744,3633050,5.4,0.025,87
366562.5,663112.5,221.0344,750.4771,3679500,6.2,0.028,101
366632.5,663202.5,216.3382,631.4824,3719775,5.8,0.03,98
